No.	NAME	MW	AMW	Sv	Se	Sp	H%	C%	N%	O%	D/Dtr06	ZM1Kup	CENT	Psi_e_1	X2v	VE1_A	VE1_Dz(Z)	Chi_Dz(p)	SpMAD_Dz(p)	ATSC2m	ATSC3m	ATSC3s	Eta_F	Eta_B	SpMax_EA(ed)	SM08_EA	SsOH	SdO	SsCl	AMR	MLOGP2
1	CC(C)(C)CC(C)(C)c1ccc(cc1)OCCOCCO	294.480	5.774	28.046	50.236	30.785	58.8	35.3	0.0	5.9	80.795	253.621	580	3.010	7.330	3.665	3.965	0.177	13.868	22.117	28.772	43.905	11.315	0.756	12.747	10.264	8.604	0.000	0.000	86.749	10.182
2	c1ccc(cc1)C(=O)OCCOCCOC(=O)c2ccccc2	314.360	7.667	26.315	41.589	27.125	43.9	43.9	0.0	12.2	187.251	408.678	764	3.421	4.616	4.485	4.428	0.117	18.594	15.372	19.970	41.500	20.713	0.315	8.537	9.065	0.000	23.265	0.000	84.246	9.433
3	CCC(OC(CC)OC(=O)c1ccccc1)OC(=O)c2ccccc2	342.420	7.286	29.369	47.356	30.648	46.8	42.6	0.0	10.6	203.027	420.678	968	3.802	5.354	4.642	4.468	0.129	16.982	18.739	24.599	46.475	23.034	0.451	8.757	9.356	0.000	24.235	0.000	92.487	18.863
4	c1cc[n](c(c1)[S])[O][Na]	149.161	11.474	11.095	12.535	22.659	30.8	38.5	7.7	7.7	26.324	147.451	46	1.210	2.331	2.833	2.389	0.388	5.997	1.158	5.633	10.322	1.053	0.157	8.475	8.289	0.000	0.000	0.000	NaN	0.584
5	CCCCOC(=O)C=CCC(=C)C(=O)OC	226.300	6.656	19.600	34.262	20.671	52.9	35.3	0.0	11.8	0.000	278.942	294	2.175	3.223	3.423	3.604	0.188	11.710	14.012	15.590	40.355	11.199	0.301	7.860	8.366	0.000	22.010	0.000	61.697	4.524
6	O	18.020	6.007	1.242	3.211	1.216	66.7	0.0	0.0	33.3	0.000	0.000	0	2.175	NaN	NaN	NaN	NaN	NaN	0.173	0.000	NaN	NaN	NaN	NaN	NaN	0.000	0.000	0.000	3.365	4.235
7	C(=O)([O])[O][Na][Na]	105.992	17.665	7.906	5.389	29.182	0.0	16.7	0.0	50.0	0.000	159.626	16	0.752	4.537	2.313	2.368	0.448	4.734	0.328	0.332	23.506	-5.529	0.144	5.118	6.466	0.000	9.337	0.000	NaN	2.125
8	c1cc[n](cc1)CC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)Cc4cccs4)SC2)C(=O)[O]	415.530	9.234	30.985	45.953	32.460	37.8	42.2	6.7	8.9	175.468	502.286	1252	4.731	8.636	3.822	4.579	0.191	13.009	18.499	25.198	56.207	23.596	0.716	12.764	10.290	0.000	36.605	0.000	NaN	2.616
9	C(=O)([O])[O][Ca2]	100.088	20.018	NaN	5.327	15.318	0.0	20.0	0.0	60.0	0.000	159.952	11	0.561	0.845	2.131	2.100	0.429	4.542	1.449	1.118	15.098	1.491	0.144	4.842	6.248	0.000	9.066	0.000	NaN	2.125
10	O=[Ti]=O	79.867	26.622	NaN	3.051	9.205	0.0	0.0	0.0	66.7	0.000	99.081	2	0.286	0.344	1.707	1.414	NaN	0.937	0.782	0.000	0.000	1.396	0.000	1.000	1.099	0.000	17.000	0.000	NaN	10.184
11	C(CSSCCO)O	154.280	8.571	10.438	18.225	12.011	55.6	22.2	0.0	11.1	0.000	120.020	40	1.001	3.793	2.673	2.285	0.415	5.435	12.468	20.152	21.374	0.444	0.000	3.570	5.720	16.538	0.000	0.000	39.565	0.007
12	c1ccc2c(c1)c(ns2)O	151.200	10.080	10.977	15.273	11.631	33.3	46.7	6.7	6.7	18.345	164.655	52	1.542	2.807	2.893	2.764	0.727	3.708	2.527	6.438	7.317	6.535	0.209	10.011	8.974	9.111	0.000	0.000	42.279	2.890
13	CC(C(=O)CCCCCC(=O)O)N	187.270	6.242	16.380	30.153	17.460	56.7	30.0	3.3	10.0	0.000	200.933	159	1.852	3.209	3.131	3.326	0.250	8.489	12.304	17.092	77.773	6.184	0.377	7.414	8.115	8.323	21.116	0.000	48.819	0.392
