MW,AMW,Sv,Se,Sp,H%,C%,N%,O%,D/Dtr06,ZM1Kup,CENT,Psi_e_1,X2v,VE1_A,VE1_Dz(Z),Chi_Dz(p),SpMAD_Dz(p),ATSC2m,ATSC3m,ATSC3s,Eta_F,Eta_B,SpMax_EA(ed),SM08_EA,SsOH,SdO,SsCl,AMR,MLOGP2
66.06,8.258,4.347,8.676,4.159,50,25,0,0,0,184.222,6,0.493,0.519,1.932,1.765,0.341,5.634,4.285,4.331,69.479,1.307,0.182,4,4.008,0,0,0,11.444,1.86
60.11,5.009,5.822,11.862,6.5,66.7,25,0,8.3,0,42.15,4,0.423,0.724,1.946,1.869,0.507,3.501,3.978,3.638,11.757,0.605,0,2,0,7.875,0,0,17.534,0.12
163,12.538,9.95,13.626,10.455,30.8,46.2,0,7.7,26,162.556,33,1.305,2.439,2.863,2.702,0.657,3.75,0.668,7.946,30.252,5.656,0.302,8.193,0,8.853,0,11.001,37.362,7.446
161.03,10.735,10.762,15.182,11.761,40,46.7,0,0,26,130.407,33,1.266,2.737,2.863,2.619,0.732,3.128,3.704,7.92,10.135,4.826,0.302,8.193,0,0,0,11.362,40.709,14.401
88.17,4.898,8.876,17.629,10.023,66.7,27.8,0,5.6,0,56.15,20,0.77,2.166,2.285,2.246,0.533,3.929,6.777,8.489,25.209,0.84,0.353,9.823,0,8.826,0,0,26.589,1.463
138.14,8.634,10.526,16.625,10.443,37.5,37.5,12.5,12.5,30.514,202.428,68,1.471,1.816,2.965,2.76,0.47,5.375,3.886,5.549,27.777,8.617,0.285,9.387,7.794,0,20.295,0,38.083,1.816
130.21,5.661,12.117,22.84,13.239,60.9,30.4,0,8.7,0,131.471,54,1.149,2.523,2.858,2.791,0.252,7.81,9.505,10.794,23.524,2.926,0.288,5.359,7.208,0,10.203,0,35.835,2.981
100.18,5.273,9.876,18.629,11.023,63.2,31.6,0,5.3,0,79.736,26,0.887,2.3,2.5,2.453,0.49,4.091,7.021,8.418,22.182,1.87,0.288,6,6.279,0,10.254,0,29.971,2.08
162.25,6.24,15.402,25.513,16.784,53.8,42.3,0,3.8,38.895,143.736,102,1.72,3.99,3.194,3.031,0.486,4.909,9.91,12.738,14.122,7.47,0.463,11.657,0,0,10.367,0,51.315,9.086
148.27,5.491,15.214,26.069,17.091,59.3,40.7,0,0,34.705,88,84,1.556,4.116,3.103,2.979,0.544,4.272,10.435,13.222,13.027,5.395,0.501,11.657,0,0,0,0,49.765,14.851
135.18,7.115,11.843,18.964,12.506,47.4,42.1,5.3,5.3,31.314,139.795,72,1.378,1.995,2.985,2.901,0.44,5.36,6.267,7.958,20.514,6.872,0.212,7.243,4.273,8.756,0,0,39.248,4.135
102.1,7.854,7.725,13.633,7.648,46.2,30.8,0,23.1,0,177.207,26,0.871,1.085,2.5,2.4,0.296,6.476,5.11,5.347,54.431,4.136,0.288,6,8.059,0,19.622,0,22.082,0.207
102.1,7.854,7.725,13.633,7.648,46.2,30.8,0,23.1,0,165.621,26,0.936,1.273,2.5,2.448,0.436,4.788,4.515,5.872,84.197,4.059,0.288,6,7.6,7.863,19.462,0,22.539,0.127
78.5,11.214,4.596,7.418,4.835,42.9,28.6,0,14.3,0,91.939,6,0.423,1.003,1.932,1.833,0.832,2.244,3.299,6.159,27.861,1.472,0.182,4,8.47,0,9.21,4.636,16.502,0.041
26.04,6.51,2.527,3.884,2.761,50,50,0,0,0,18,0,0.105,0,1.414,1.414,3,0.333,0.419,0.21,2.25,0.8,-99,0,0,0,0,0,8.566,0.489
56.07,7.009,4.768,8.095,4.977,50,37.5,0,12.5,0,69.736,4,0.393,0.372,1.946,1.962,0.769,2.224,2.149,2.058,15.75,2.119,0,2,0,0,9.056,0,16.441,0.009
