new_datetime,air_conc_mass,aerosol_conc_mass,fw_conc_mass,fwSusSed_conc_mass,sw_conc_mass,swSusSed_conc_mass,urban_conc_mass,urban_air_conc_mass,urban_water_conc_mass,urban_solid_conc_mass,natural_conc_mass,natural_air_conc_mass,natural_water_conc_mass,natural_solid_conc_mass,agricultural_conc_mass,agricultural_air_conc_mass,agricultural_water_conc_mass,agricultural_solid_conc_mass,fw_sed_conc_mass,fw_sed_water_conc_mass,fw_sed_solid_conc_mass,sw_sed_conc_mass,sw_sed_water_conc_mass,sw_sed_solid_conc_mass,deep_urban_conc_mass,deep_natural_conc_mass,deep_agricultural_conc_mass
2005-01-01 00:00:00,1.1287588650656063e-14,2.8246711977219036e-06,4.8166132483365185e-09,1.1111832102295293e-05,8.342890178709331e-09,1.939597378668789e-05,5.480682417773501e-08,1.4641837717311226e-13,1.8862340875289812e-11,1.09602272383594e-07,5.864831626324498e-08,1.0290627275851815e-13,1.325689597475724e-11,1.466074823090013e-07,5.382113243046591e-08,6.296136023176475e-14,8.110994409256085e-12,8.969916273218668e-08,2.838537460108735e-07,1.5137251813719787e-10,1.4186632399818184e-06,1.003294445549111e-07,3.344493191467249e-11,5.015134430468969e-07,6.124136647821369e-13,4.304187004791313e-13,2.633439743264965e-13
2005-01-02 00:00:00,4.236949192811226e-15,1.0647820484948604e-06,5.1153845024894596e-09,1.1851216042967125e-05,8.152197870810316e-09,1.9033143022395673e-05,5.633689925788598e-08,1.5114529369583333e-13,1.947128568441844e-11,1.1314063144930917e-07,6.028563658883431e-08,1.0622846065859834e-13,1.3684876682049105e-11,1.5134050383171378e-07,5.53236893611559e-08,6.499398140759335e-14,8.372846741108404e-12,9.25949771960482e-08,3.0146100142440896e-07,1.6144488135681326e-10,1.513061428076054e-06,9.803622806487188e-08,3.281929432917367e-11,4.92131882324825e-07,6.321846001434559e-13,4.443141779886075e-13,2.718456734126107e-13
2005-01-03 00:00:00,1.09744996144846e-14,2.7603579298999048e-06,5.048552962344598e-09,1.1706437646288188e-05,8.167820609412374e-09,1.908601220632839e-05,5.544624004719758e-08,1.4888364660507083e-13,1.9179929099342152e-11,1.114476632218015e-07,5.9332549745089625e-08,1.0463892198934812e-13,1.3480104434243055e-11,1.4907593573411658e-07,5.4449048510348325e-08,6.402145063688096e-14,8.247560508170604e-12,9.120944175743837e-08,2.975224699202764e-07,1.5947261699253885e-10,1.494577366454074e-06,9.822410308813076e-08,3.291045790139026e-11,4.934988983229272e-07,6.227249707578623e-13,4.3766572838451494e-13,2.677779385769678e-13
2005-01-04 00:00:00,1.3131954958404433e-13,3.2991933764258504e-05,5.494008988685268e-09,1.272462288749963e-05,7.774965044473145e-09,1.8147013683351423e-05,4.589639746629723e-08,1.2309806026193178e-13,1.5858102094672805e-11,9.214572235538957e-08,4.911334444808979e-08,8.651620657140489e-14,1.1145446432980294e-11,1.2325704628447174e-07,4.507095828257077e-08,5.2933391734150684e-14,6.8191418171116674e-12,7.541261658976524e-08,3.237741856467958e-07,1.7334299070530124e-10,1.624570508890083e-06,9.349972343355446e-08,3.129132075394285e-11,4.692196129695238e-07,5.148734446322339e-13,3.6186514392793176e-13,2.2140070834778148e-13
2005-01-05 00:00:00,8.328469782501621e-14,2.0905861161347124e-05,5.638325210807908e-09,1.3047585055700247e-05,7.779025573851449e-09,1.8140797733629004e-05,5.088326216569226e-08,1.3635529847379792e-13,1.7565965212985367e-11,1.0206950010518128e-07,5.4449745935314575e-08,9.583370481031772e-14,1.2345772725898395e-11,1.3653140674480132e-07,4.996813503794261e-08,5.863413618201976e-14,7.553539965040113e-12,8.353429633178001e-08,3.322790620293445e-07,1.7774258891858585e-10,1.6658035433449868e-06,9.354855431211067e-08,3.1280602446239544e-11,4.6905888980185114e-07,5.703235458761484e-13,4.0083677681488293e-13,2.4524480405974405e-13
2005-01-06 00:00:00,9.153351299795013e-14,2.2937250150207617e-05,5.732738684865514e-09,1.3243431621365327e-05,7.73660482465434e-09,1.80110888603197e-05,5.0514955405499416e-08,1.3513735632701517e-13,1.7409063870527264e-11,1.0115780288864054e-07,5.4055624004738366e-08,9.497770647745318e-14,1.2235498779042115e-11,1.3531189157747558e-07,4.960645221444804e-08,5.811040893052612e-14,7.486070825345499e-12,8.278815781466286e-08,3.378430583278657e-07,1.804105367007632e-10,1.690807549959553e-06,9.303841332818517e-08,3.1056942397805367e-11,4.65705062643571e-07,5.652293464456906e-13,3.972564538650038e-13,2.4305424757615253e-13
2005-01-07 00:00:00,6.296295836175252e-15,1.5720980613942439e-06,5.2005708662481295e-09,1.1970786709412645e-05,8.175283287780567e-09,1.8963812453896028e-05,5.669594228003619e-08,1.5112652929858963e-13,1.9468868361784738e-11,1.1312658525772085e-07,6.066984547214578e-08,1.0621527259970712e-13,1.3683177730953676e-11,1.513217151995074e-07,5.567627505341776e-08,6.4985912529921e-14,8.371807268303997e-12,9.258348170788314e-08,3.064812235629198e-07,1.6307374981959922e-10,1.5283271833092836e-06,9.831384733257534e-08,3.2699746005971265e-11,4.903392313087402e-07,6.321061156423618e-13,4.442590172387557e-13,2.7181192429558435e-13
2005-01-08 00:00:00,5.403436565490394e-15,1.3517641050443045e-06,4.539606263293958e-09,1.0469506394712968e-05,8.49850014130775e-09,1.975156320510347e-05,5.439796197174117e-08,1.452806271769341e-13,1.8715770283038273e-11,1.087506034374335e-07,5.821079629515758e-08,1.021066353516694e-13,1.3153882721668243e-11,1.4546826286362025e-07,5.341962354421403e-08,6.247211640359171e-14,8.047967595024832e-12,8.90021517146758e-08,2.6752910744815217e-07,1.426223445451302e-10,1.3366566130769603e-06,1.0220076981273982e-07,3.4058083077861285e-11,5.107077673691456e-07,6.076548793194245e-13,4.270741143398782e-13,2.6129764918911805e-13
2005-01-09 00:00:00,1.698651991817654e-14,4.239126227909804e-06,5.183348406880532e-09,1.1925030678436329e-05,8.174313556538506e-09,1.8951847931933417e-05,5.5665615420833474e-08,1.4830410599230644e-13,1.9105269805883987e-11,1.1101384494486174e-07,5.956730146600019e-08,1.0423160724154667e-13,1.3427632130117734e-11,1.4849564662168681e-07,5.4664478453855936e-08,6.377224240227493e-14,8.215456268519656e-12,9.085440225530812e-08,3.054662656755076e-07,1.624504317596171e-10,1.5224854464511314e-06,9.83021855948802e-08,3.267911530050466e-11,4.900298697541274e-07,6.203009677235062e-13,4.3596208214667977e-13,2.667355931337552e-13
2005-01-10 00:00:00,1.6714977438281226e-14,4.177439044682807e-06,5.434386686011599e-09,1.2520798656516903e-05,8.0286442510077e-09,1.8641243349658475e-05,5.6509390766936266e-08,1.507714725060952e-13,1.9423128186409085e-11,1.1286080556507609e-07,6.047021828513364e-08,1.0596573035071747e-13,1.3651030461914733e-11,1.5096619983709655e-07,5.5493078638695854e-08,6.483323457346102e-14,8.352138537407696e-12,9.23659659996502e-08,3.202605105628434e-07,1.7056636603916183e-10,1.5985479825190245e-06,9.655040411393709e-08,3.214353254395854e-11,4.81998699203167e-07,6.306210450132822e-13,4.4321527473749143e-13,2.711733291366136e-13
