new_datetime,air_conc_mole,aerosol_conc_mole,fw_conc_mole,fwSusSed_conc_mole,sw_conc_mole,swSusSed_conc_mole,urban_conc_mole,urban_air_conc_mole,urban_water_conc_mole,urban_solid_conc_mole,natural_conc_mole,natural_air_conc_mole,natural_water_conc_mole,natural_solid_conc_mole,agricultural_conc_mole,agricultural_air_conc_mole,agricultural_water_conc_mole,agricultural_solid_conc_mole,fw_sed_conc_mole,fw_sed_water_conc_mole,fw_sed_solid_conc_mole,sw_sed_conc_mole,sw_sed_water_conc_mole,sw_sed_solid_conc_mole,deep_urban_conc_mole,deep_natural_conc_mole,deep_agricultural_conc_mole
2005-01-01 00:00:00,3.865744940119888e-14,9.6738627957187e-06,1.6495815775665324e-08,3.805552279973729e-05,2.8572520218875067e-08,6.642684265450148e-05,1.877010314659235e-07,5.014499714822845e-13,6.45992700958588e-11,3.7536310278980097e-07,2.008572768356621e-07,3.5243081187204406e-13,4.540188353970081e-11,5.020976139902096e-07,1.8432525918855408e-07,2.1562848122115394e-13,2.7778329426542295e-11,3.071994339949542e-07,9.72135162200327e-07,5.184167887160446e-10,4.85860214384677e-06,3.4360575552214493e-07,1.1454136071328636e-10,1.7175706121678715e-06,2.0973788992161953e-12,1.4740871279123644e-12,9.018938125500753e-13
2005-01-02 00:00:00,1.4510596913631377e-14,3.6466387495971106e-06,1.7519040044143495e-08,4.0587746302842986e-05,2.791944200421355e-08,6.518422898864917e-05,1.9294119407474904e-07,5.176385961705309e-13,6.668476894557498e-11,3.874811858259158e-07,2.0646473026074283e-07,3.6380855734305397e-13,4.686762108993152e-11,5.183071469287091e-07,1.894711783319836e-07,2.2258975104487603e-13,2.867511469950479e-11,3.171169464572355e-07,1.0324360472084966e-06,5.52912364659109e-10,5.18189468158517e-06,3.357520054278293e-07,1.1239869286336404e-10,1.6854408792247165e-06,2.165089900830357e-12,1.5216760094133616e-12,9.310102175163898e-13
2005-01-03 00:00:00,3.758518995337032e-14,9.45360433542212e-06,1.7290157068203012e-08,4.0091912895264177e-05,2.7972946366013813e-08,6.536529403859169e-05,1.8989088683584224e-07,5.09892964159974e-13,6.568693824905698e-11,3.8168315086750055e-07,2.0320062243600677e-07,3.5836474533151174e-13,4.616632225159442e-11,5.105515111274927e-07,1.8647573036867126e-07,2.1925905214863852e-13,2.8246037563514514e-11,3.1237179957340446e-07,1.0189474636812095e-06,5.461578033238769e-10,5.118590932751374e-06,3.363954350769915e-07,1.127109075700889e-10,1.690122601194997e-06,2.132692800294059e-12,1.498906566610209e-12,9.170791416725497e-13
2005-01-04 00:00:00,4.497398869277863e-13,0.00011298994405376383,1.8815743651101983e-08,4.357896807253546e-05,2.6627504518898398e-08,6.214943554009186e-05,1.571848264197309e-07,4.215831373058385e-13,5.4310428763563146e-11,3.155783497907105e-07,1.6820214544364458e-07,2.962985258789852e-13,3.8170644313093916e-11,4.221276286327331e-07,1.5435788308699188e-07,1.812849472041874e-13,2.3354025196450793e-11,2.5827123048654145e-07,1.1088536787109003e-06,5.936607099739759e-10,5.563788173876102e-06,3.2021549859089163e-07,1.0716572743567536e-10,1.606971516043439e-06,1.7633256092065958e-12,1.2393066335420108e-12,7.582475713133376e-13
2005-01-05 00:00:00,2.852313360903326e-13,7.159786691786405e-05,1.9309994214897454e-08,4.468504077434243e-05,2.6641410917673373e-08,6.212814731199358e-05,1.7426371507822958e-07,4.669861929305726e-13,6.015947536896937e-11,3.4956505395794813e-07,1.8647811889213524e-07,3.282088592428429e-13,4.228149157813074e-11,4.675893241028847e-07,1.7112961073304774e-07,2.0080871325052143e-13,2.586917348210594e-11,2.8608615477167027e-07,1.1379809652020428e-06,6.087283431575938e-10,5.70500203207297e-06,3.2038273335426097e-07,1.0712901964532875e-10,1.6064210753856334e-06,1.953229719771733e-12,1.3727757005886603e-12,8.399082299385048e-13
2005-01-06 00:00:00,3.134816705981373e-13,7.855491677868288e-05,1.963333910361832e-08,4.535577116122239e-05,2.64961294039328e-08,6.168392362861639e-05,1.730023473594966e-07,4.628150153327688e-13,5.962212360192904e-11,3.46442696286313e-07,1.8512834002787205e-07,3.2527725770558295e-13,4.1903828141518937e-11,4.634127592639322e-07,1.6989092850593527e-07,1.9901506534650542e-13,2.5638106871281544e-11,2.835307983652277e-07,1.1570363996296643e-06,6.178654635458858e-10,5.790635124352042e-06,3.186356153573244e-07,1.0636303434297532e-10,1.5949349725797834e-06,1.9357832338288657e-12,1.360513900698667e-12,8.324060672494007e-13
2005-01-07 00:00:00,2.1563395445649685e-14,5.384081856893194e-06,1.7810784157841463e-08,4.0997248910622434e-05,2.7998504358986832e-08,6.494678740332212e-05,1.9417083557668476e-07,5.175743323353184e-13,6.66764901598847e-11,3.874330807826324e-07,2.0778055917033381e-07,3.6376339121102474e-13,4.6861802564997685e-11,5.182428000942066e-07,1.9067870493310647e-07,2.2256211695578956e-13,2.867155473921708e-11,3.1707757699881207e-07,1.049629177584574e-06,5.584908723572698e-10,5.234176455732332e-06,3.367027889057e-07,1.1198926677616104e-10,1.6793014531618898e-06,2.1648211090871666e-12,1.5214870962661588e-12,9.308946343901651e-13
2005-01-08 00:00:00,1.850555349666219e-14,4.629487670962377e-06,1.5547129228035062e-08,3.5855701889492675e-05,2.9105449300687524e-08,6.764465634132494e-05,1.863007704775546e-07,4.975534339427176e-13,6.409729882200853e-11,3.724463284271156e-07,1.9935886946524736e-07,3.496922338150943e-13,4.504908634428659e-11,4.981960439180117e-07,1.829501816644886e-07,2.139529312770701e-13,2.7562476780111752e-11,3.0481232821218463e-07,9.162269510878871e-07,4.884494145180664e-10,4.5777479128633175e-06,3.5001462314716195e-07,1.1664126537847625e-10,1.7490591026033272e-06,2.0810811305846926e-12,1.462632673515799e-12,8.948856097438886e-13
2005-01-09 00:00:00,5.8175005713129e-14,1.451805276862154e-05,1.7751801112642665e-08,4.084054480782331e-05,2.7995183247845833e-08,6.490581160975861e-05,1.906421980918301e-07,5.079081680615995e-13,6.543124698066367e-11,3.8019742095572357e-07,2.0400459421898074e-07,3.569697840389967e-13,4.598661642562325e-11,5.085641515863105e-07,1.8721352941489753e-07,2.1840557006156006e-13,2.8136087771908817e-11,3.1115586922602866e-07,1.0461531753673331e-06,5.563561483599338e-10,5.2141698224293e-06,3.366628500800719e-07,1.1191861125553839e-10,1.6782419594990493e-06,2.1243911357358336e-12,1.493071961870885e-12,9.135093432437932e-13
2005-01-10 00:00:00,5.724503386513656e-14,1.4306788056723883e-05,1.861155069013185e-08,4.288091597834481e-05,2.7496298678063284e-08,6.384206085707891e-05,1.9353193865179035e-07,5.163583427723387e-13,6.651984035894751e-11,3.8652284518331476e-07,2.070968810066565e-07,3.629087651998954e-13,4.675170540742742e-11,5.170252400325235e-07,1.9005129846465923e-07,2.2203922933477521e-13,2.8604193764881318e-11,3.1633263467807184e-07,1.09682013275401e-06,5.841513957298599e-10,5.474666880780247e-06,3.306633929721466e-07,1.1008436091632775e-10,1.6507370088125175e-06,2.1597350765892056e-12,1.5179125132281633e-12,9.287075897688742e-13
