new_datetime,air_fugacity,aerosol_fugacity,fw_fugacity,fwSusSed_fugacity,sw_fugacity,swSusSed_fugacity,urban_fugacity,urban_air_fugacity,urban_water_fugacity,urban_solid_fugacity,natural_fugacity,natural_air_fugacity,natural_water_fugacity,natural_solid_fugacity,agricultural_fugacity,agricultural_air_fugacity,agricultural_water_fugacity,agricultural_solid_fugacity,fw_sed_fugacity,fw_sed_water_fugacity,fw_sed_solid_fugacity,sw_sed_fugacity,sw_sed_water_fugacity,sw_sed_solid_fugacity,deep_urban_fugacity,deep_natural_fugacity,deep_agricultural_fugacity
2005-01-01 00:00:00,9.01446103937493e-11,9.01446103937493e-11,2.9511089724057745e-07,2.9511089724057745e-07,5.151232644940545e-07,5.151232644940545e-07,1.173727968709492e-09,1.173727968709492e-09,1.173727968709492e-09,1.173727968709492e-09,8.249235705536885e-10,8.249235705536885e-10,8.249235705536885e-10,8.249235705536885e-10,5.0471471463342e-10,5.0471471463342e-10,5.0471471463342e-10,5.0471471463342e-10,9.419305875463571e-09,9.419305875463571e-09,9.419305875463571e-09,2.0811442365173913e-09,2.0811442365173913e-09,2.0811442365173913e-09,1.475736218817639e-13,1.0371820585999479e-13,6.345812696051536e-14
2005-01-02 00:00:00,3.383699974058493e-11,3.383699974058493e-11,3.1341642611259515e-07,3.1341642611259515e-07,5.033491619882435e-07,5.033491619882435e-07,1.2064956384794945e-09,1.2064956384794945e-09,1.2064956384794945e-09,1.2064956384794945e-09,8.479534581136787e-10,8.479534581136787e-10,8.479534581136787e-10,8.479534581136787e-10,5.188051389379147e-10,5.188051389379147e-10,5.188051389379147e-10,5.188051389379147e-10,1.0003579032673022e-08,1.0003579032673022e-08,1.0003579032673022e-08,2.033575805310541e-09,2.033575805310541e-09,2.033575805310541e-09,1.5169352345819274e-13,1.0661376940568954e-13,6.522972566472906e-14
2005-01-03 00:00:00,8.764422788888273e-11,8.764422788888273e-11,3.0932169922479046e-07,3.0932169922479046e-07,5.043137720857811e-07,5.043137720857811e-07,1.1874215242271607e-09,1.1874215242271607e-09,1.1874215242271607e-09,1.1874215242271607e-09,8.345477228379954e-10,8.345477228379954e-10,8.345477228379954e-10,8.345477228379954e-10,5.106030798676713e-10,5.106030798676713e-10,5.106030798676713e-10,5.106030798676713e-10,9.872884146806858e-09,9.872884146806858e-09,9.872884146806858e-09,2.037472916707652e-09,2.037472916707652e-09,2.037472916707652e-09,1.49295322001429e-13,1.0492825712229741e-13,6.41984751568155e-14
2005-01-04 00:00:00,1.0487403466504142e-09,1.0487403466504142e-09,3.3661451283402485e-07,3.3661451283402485e-07,4.800573049920887e-07,4.800573049920887e-07,9.829047053429687e-10,9.829047053429687e-10,9.829047053429687e-10,9.829047053429687e-10,6.908085013404227e-10,6.908085013404227e-10,6.908085013404227e-10,6.908085013404227e-10,4.2265881115065123e-10,4.2265881115065123e-10,4.2265881115065123e-10,4.2265881115065123e-10,1.074401212612312e-08,1.074401212612312e-08,1.074401212612312e-08,1.93947461189435e-09,1.93947461189435e-09,1.93947461189435e-09,1.235812822042338e-13,8.685582629645239e-14,5.3141181981307975e-14
2005-01-05 00:00:00,6.651258182376147e-10,6.651258182376147e-10,3.4545667798226286e-07,3.4545667798226286e-07,4.80308018246623e-07,4.80308018246623e-07,1.0897020369100812e-09,1.0897020369100812e-09,1.0897020369100812e-09,1.0897020369100812e-09,7.658681731132729e-10,7.658681731132729e-10,7.658681731132729e-10,7.658681731132729e-10,4.685827272219119e-10,4.685827272219119e-10,4.685827272219119e-10,4.685827272219119e-10,1.1026235042699192e-08,1.1026235042699192e-08,1.1026235042699192e-08,1.9404875159517995e-09,1.9404875159517995e-09,1.9404875159517995e-09,1.3700898389221092e-13,9.629313026813399e-14,5.891522742139537e-14
2005-01-06 00:00:00,7.310022647478227e-10,7.310022647478227e-10,3.512413328017801e-07,3.512413328017801e-07,4.77688792254117e-07,4.77688792254117e-07,1.0818144799864904e-09,1.0818144799864904e-09,1.0818144799864904e-09,1.0818144799864904e-09,7.603246129410571e-10,7.603246129410571e-10,7.603246129410571e-10,7.603246129410571e-10,4.6519099919976907e-10,4.6519099919976907e-10,4.6519099919976907e-10,4.6519099919976907e-10,1.1210868797801056e-08,1.1210868797801056e-08,1.1210868797801056e-08,1.9299056077869756e-09,1.9299056077869756e-09,1.9299056077869756e-09,1.3601727595472975e-13,9.55961346485844e-14,5.848878313276192e-14
2005-01-07 00:00:00,5.028329368140246e-11,5.028329368140246e-11,3.1863574162441576e-07,3.1863574162441576e-07,5.047745475677241e-07,5.047745475677241e-07,1.2141848057208046e-09,1.2141848057208046e-09,1.2141848057208046e-09,1.2141848057208046e-09,8.53357585359841e-10,8.53357585359841e-10,8.53357585359841e-10,8.53357585359841e-10,5.221115574210948e-10,5.221115574210948e-10,5.221115574210948e-10,5.221115574210948e-10,1.0170168371548951e-08,1.0170168371548951e-08,1.0170168371548951e-08,2.0393344910232983e-09,2.0393344910232983e-09,2.0393344910232983e-09,1.5266028772496093e-13,1.0729323402789065e-13,6.564544392656458e-14
2005-01-08 00:00:00,4.315276708415127e-11,4.315276708415127e-11,2.7813885159708516e-07,2.7813885159708516e-07,5.247312432885082e-07,5.247312432885082e-07,1.1649718874418206e-09,1.1649718874418206e-09,1.1649718874418206e-09,1.1649718874418206e-09,8.187695910831921e-10,8.187695910831921e-10,8.187695910831921e-10,8.187695910831921e-10,5.009495124944794e-10,5.009495124944794e-10,5.009495124944794e-10,5.009495124944794e-10,8.877594638287333e-09,8.877594638287333e-09,8.877594638287333e-09,2.1199613334549524e-09,2.1199613334549524e-09,2.1199613334549524e-09,1.4647271378328684e-13,1.0294446180374159e-13,6.298472551522871e-14
2005-01-09 00:00:00,1.3565724862596644e-10,1.3565724862596644e-10,3.17580532253305e-07,3.17580532253305e-07,5.047146724989659e-07,5.047146724989659e-07,1.1921196072769563e-09,1.1921196072769563e-09,1.1921196072769563e-09,1.1921196072769563e-09,8.378496458964164e-10,8.378496458964164e-10,8.378496458964164e-10,8.378496458964164e-10,5.126233023630157e-10,5.126233023630157e-10,5.126233023630157e-10,5.126233023630157e-10,1.01364883552497e-08,1.01364883552497e-08,1.01364883552497e-08,2.039092590369909e-09,2.039092590369909e-09,2.039092590369909e-09,1.498860152029567e-13,1.0534341017129722e-13,6.445247911564829e-14
2005-01-10 00:00:00,1.3348866401386748e-10,1.3348866401386748e-10,3.329614914411089e-07,3.329614914411089e-07,4.957204694596998e-07,4.957204694596998e-07,1.21018966949798e-09,1.21018966949798e-09,1.21018966949798e-09,1.21018966949798e-09,8.505497098336197e-10,8.505497098336197e-10,8.505497098336197e-10,8.505497098336197e-10,5.203936090613554e-10,5.203936090613554e-10,5.203936090613554e-10,5.203936090613554e-10,1.062741553077125e-08,1.062741553077125e-08,1.062741553077125e-08,2.002755202588326e-09,2.002755202588326e-09,2.002755202588326e-09,1.5215797650972982e-13,1.0694019791369358e-13,6.542944510195507e-14
2005-01-11 00:00:00,4.6129067579596994e-11,4.6129067579596994e-11,2.5349763003202464e-07,2.5349763003202464e-07,5.373154446308297e-07,5.373154446308297e-07,1.1338624949654926e-09,1.1338624949654926e-09,1.1338624949654926e-09,1.1338624949654926e-09,7.969051797345012e-10,7.969051797345012e-10,7.969051797345012e-10,7.969051797345012e-10,4.875721639395393e-10,4.875721639395393e-10,4.875721639395393e-10,4.875721639395393e-10,8.091099780806144e-09,8.091099780806144e-09,8.091099780806144e-09,2.1708026366922856e-09,2.1708026366922856e-09,2.1708026366922856e-09,1.4256130854743758e-13,1.0019543438081432e-13,6.130278231368953e-14
2005-01-12 00:00:00,1.6301168865448099e-09,1.6301168865448099e-09,3.1117347471464895e-07,3.1117347471464895e-07,4.877421162976909e-07,4.877421162976909e-07,8.085806358893893e-10,8.085806358893893e-10,8.085806358893893e-10,8.085806358893893e-10,5.682894529401299e-10,5.682894529401299e-10,5.682894529401299e-10,5.682894529401299e-10,3.476977253509e-10,3.476977253509e-10,3.476977253509e-10,3.476977253509e-10,9.931988842413687e-09,9.931988842413687e-09,9.931988842413687e-09,1.9705219395142463e-09,1.9705219395142463e-09,1.9705219395142463e-09,1.0166339748455886e-13,7.145142237667712e-14,4.3716273291586736e-14
2005-01-13 00:00:00,3.719600001151912e-09,3.719600001151912e-09,3.114080930068242e-07,3.114080930068242e-07,4.6021120759341916e-07,4.6021120759341916e-07,2.847950746580589e-10,2.847950746580589e-10,2.847950746580589e-10,2.847950746580589e-10,2.0016066424772959e-10,2.0016066424772959e-10,2.0016066424772959e-10,2.0016066424772959e-10,1.2246471811785112e-10,1.2246471811785112e-10,1.2246471811785112e-10,1.2246471811785112e-10,9.939477354287163e-09,9.939477354287163e-09,9.939477354287163e-09,1.8592945966135984e-09,1.8592945966135984e-09,1.8592945966135984e-09,3.580747991170984e-14,2.5166337489405262e-14,1.539757293613039e-14
